sentiment,comments
1,"Liz is a spectacularly good host. She gave us plenty of space but always magically appeared when we had a question. The deck at the back of the houseboat is a lovely oasis from the bustle of Amsterdam. The location is fantastic too. You can walk everywhere but it's super quiet.
Highly recommended"
1,"Great studio, it was a real pleasure to stay at Anouk's place. They are really hospitable, helpful and communicative  with any question you might have.  The place it-self is clean, with a great location, about 15-20 minutes commute to the downtown.
Totally recommend and suggest staying at Anouk's place."
-1,"Communication before reaching the flat was great, and we were allowed to check in late, self check in was available with a key pad. but once we were in the flat it was very uncomfortable we had to guessed which of the rooms was ours and where the toilet was. and although we saw people in the house several times it felt as if they have been hiding or a avoiding to greet. The house was not clean the floor in our room had stains everywhere. And was wet, the bed lining smell very bad, the pillows are so old and very bad quality, I wouldn’t called these pillow. no hand towels only small towel to shower, no hand soap, poor hygiene in the toilet. 
This is the first time I have such a bad experience with Airbnb, I did not enjoyed staying in this place."
-1,Dirty and disgusting apartment... awful neighbourhood...you have no sockets in the bathroom...the Garden was full of weeds but not the good (URL HIDDEN) batteries for the remotes of the middleaged TV... 30 Minutes to central minimum...very disappointing!
1,"Lettie’s place is a quiet oasis in a busy city! The apartment is lovely with a full kitchen & lots of space.  Lettie is a gracious host, willing to help travelers navigate around town with lots of helpful suggestions.  I highly recommend staying here!"
0,"To sum up: house normal and communication awful.

The house was as normal as she described, nothing more and nothing less (that’s a good thing). The only thing wrong about it, it was the WIFI. We didn’t get to use it (even if it’s the greatest and the expensiver pack in the whole europe) because we didn’t get the user and the pass (normal thing to do in the check-in) so we got to search for it until we just gave up. (It’s in the description of the house but the communication as I said was very chaotic).

Related with communication, we booked the house around 6 months in advance, no messages came in that time. The problems came when she changed me the check-in time the very day that we arrived to the city and even when we came at the time that she told us, we had to wait 15 min until a woman that didn’t speak english showed us the rooms of the house and nothing more.

And at the end, i tried to ask for the check out in 3 or 4 messages too but no answer came. So in conclusion I didn’t get to know her and the communication by messages wasn’t very usefull at all."
1,Mirjam kindly welcomed me at the bus stop when I arrived because it was midnight and raining. She made herself very accessible and she provided nice breakfast. Her apartment is not very centrally located but it doesn't take very long by bus to the centraal station. The room is big and bed is comfortable. Very enjoyable experience!
-1,"Bad experience, not recommended "
1,"I stayed with my boyfriend for a week at Emil's place. Emil is a great guy, he was very welcoming and helpful.
We had a clean and cozy room and the apartment was a 5 min walk to the metro.
"
1,The neighborhood was really lovely and the commute to the center of the city was very easy. The apartment is a great place to stay and Carolina was a very helpful host!
1,"René has been very effective in the entire process, from booking till hosting. The flat is very nice in excellent position. I really recommend it if u want to stay close to city center in a very convenient location. The flat has all u need with high comfort
I will come back again if possible."
1,"The cabin is in a very pretty area outside of the city center. The cabin is a little dated and the appliances are certainly not anything fancy,  but they do work.  We didn't mind because it was a good deal compared to everything else we had found in the city.  The other main reason we were ok with the more rural area was because of the bikes. The bikes are free,  but they are pretty awful.  One of them had a chain that is too big,  so if you bumped it, it would fall off and you no longer had brakes... Overall we enjoyed coming home to a quiet natural area after our long days in the bustle of the city.  "
-1,"Just terrible. We would advise everyone not to enter this apartment.  Because the host has a camera in the apartment. 
In additional he is living next door, but he likes not to say that before you are arriving and with every sound he complain. 
Furthermore the apartment was not clean.
Moreover the facilities were bad we did not even had a rag to clean.

Furthermore the toilet and the bathroom are separated but you can see through the wall. 
In additional sometimes when he wanted he came in our apartment, once even when someone was at home sleeping. So for people who wants their privacy it's nothing.

Very special or just awful we found that the host ""repaired"" a broken window with a piece of carton."
-1,"Awful experience with Max. The day of check in I sent a note confirming details about checking in. His response was that he had “lost the keys” and tried to move me to another property which would not meet my needs. When I suggested a locksmith he did not respond. When I asked him to cancel the reservation he did not respond. Ultimately Airbnb support came in and canceled the reservation and is refunding me. 

The one bright side to this was that I could not find another place to stay in Amsterdam on such short notice so my girlfriend and I ended up renting a car and staying on a Dutch farm. The farm is way better than Amsterdam, but I suppose if I actually were dead set on staying in Amsterdam then Max would have completely ruined our vacation with his scam and/or incompetence. 
"
1,Great location and stylish space. Marinus was a wonderful host and was very flexible with our arrival. Highly recommend!
1,"it was a really pleasant staying.Quite close to the center of the city (it will take u 12 minutes by bus),while calm and nice district,appartment is very spacious,cosy and well equipped.We liked either flat or host.Strictly recommend!!!"
1,"The house is in a quiet area but not far from the central, easy access to the public transportation which means u can go to the sights without trouble.  Elsie recommended us beautiful routes for sightseeing. She prepared breakfast for us every day and u can asked her any question about Amsterdam, she will tell you a lot. "
0,"After some initial miscommunication (I was informed 2 days before arrival that there is a 20EUR fee for checking in after 8pm, which really should be displayed more prominently in the description), I had a good stay and Twan was responsive and friendly to deal with.  This apartment is great for a short weekend stay (roomy, fairly modern, nice big windows, central), but not as much for a business traveler (iron and board are unusable, shower is awful).  Keep in mind that this apt is very central, the street is noisy and busy all hours throughout the night.  Overall I thought it was just fine - there was some good and some bad - pretty average to slightly above-average experience overall."
1,"A very nice apartment, clean and a lovely look, very close to the museum quarter and very easy access to everything else.  We were disappointed that canal works were happening right outside the front door. They were excruciatingly noisy from sunrise to sunset, we couldn't have the windows open during beautifully hot weather and had paid the premium rate for the apartment, we were not made aware of this either, had we been told we would have gone elsewhere.  I feel this should have been brought to our attention beforehand.
The bed is lovely but ruined by budget sheets. The itchy, cheap bedding combined with the hot weather was just awful. We ended up getting on the couch most nights! 
The kitchen is equipped with most things you will need except cooking utensils, couldn't find a spatula or wooden spoon anywhere. Made cooking quite difficult, we thought about buying some but expected them to be available. I wouldn't quite say 5* luxury but a nice place.
"
1,"This is a very clean, spacious, and comfortable apartment. It is in a highly central location, close to the museums (10 mn. by walk), and public transportation. Only within a few blocks, one can find grocery stores, restaurants, and cafes. Despite its centrality, it is in a  quiet neighborhood. We encountered no problems during our stay. I highly recommend it."
1,Anna Sophie’s place is a dream. It’s located in a hip part of AMS and is away from everything (but only by a block) so you can enjoy quiet. There’s a fantastic roof deck too. A heads up it was a heat wave in Europe when we were there so it got a little warm during the day but otherwise fantastic stay and will return!
1,"The appartment was very nice and we had some wonderful days in Amsterdam. From Amterdam Centraal to the appartment ~20mins with tram 16. There are lots of restaurants and ""touristik sights"" in the area of the appartment.
So everything was very nice, next time again!"
-1,"Pros:
Excellent location. Walking distance to lots of restaurants, cafes, tram stop and points of interest
Great view of the canal with boats passing by all day long

Cons
Very bad experience with check in time. Instead of 1pm checkin as advertised, we were asked to wait till 3 as the apartment was not ready. We were there with a tired toddler, after a very long journey waiting downstairs and insisted on checking in as we had no other place to go with a baby and all the luggage.
Apartment was not cleaned, bed wasn't made so we had to wait 3 more hours for various folks to come in and get it ready.
The white couch and the pillows in the apt are extremely dirty - unusable almost.
There were no napkins in the bathroom. No hand soap in the bathroom.
Kitchen was clean but utensils etc inside the cabinets were not very clean.
No paper napkins in the apartment. Dirty kitchen towels.
While checking in, no one explained us anything about the apartment, amenities or things we should know.

Overall, great location and view but lacked in cleanliness and amenities."
1,"The flat is in a great location, you can reach by walking all places to visit. Lin has been a great landlady and the communication with her has been very fast. We were 13 people and the apartment was perfect for us.
Our stay in Amsterdam has been lovely!"
1,"Bob was super friendly and was even thoughtful enough to make sure we had all we needed, sent us texts with helpful and very informative facts about the area and was accessible whenever we needed. 
The place was sweet and cozy, does have angled ceilings so not recommended for tall people, does get loud in the early am and you can hear the hustle le and bustle from the streets below but to us it added to the charm. The balcony was charming, allowed us to enjoy and check the weather feel before heading out for the day. Location was prime! Coffee, fries and sandwiches right down stairs, short walk to the more busy area and museums. "
1,"Great location, and a wonderful experience to stay on a houseboat in Amsterdam. 
Host was very helpful with tourist tips and accommodating for everything we needed."
-1,"Dear all, bare with me as this review is extremely long, however covers everything and what you need to know if you're considering this apartment. Cleanliness was the biggest concern of ours. Upon arrival, the apartment smelt extremely funny, and all towels and sheets had to be washed as they smelt very odd and unclean. The kitchen had a mop in a bucket filled with dirty water simply left in the corner as if the apartment was being shared and as if we weren't guests. Added to that, there was washing left to hang on the balcony area (presumably from the last guests) that had not been cared for or sorted out by Bas (which was rather irritating having to do someone else's washing as a guest in this apartment). The worst part of the kitchen however, was the fridge. The fridge had an awful smell. It's very difficult to describe, however I'd say a mix of: sweaty feet, off food, rotten milk and just uncleanliness. With that in mind, my friends and I had to clean our own fridge using soap and sponges to avoid contaminating the food which we bought from the local supermarket - which is brilliant value for money having paid £1,000 for a week... The room with a single bed, was not only small, dirty, dusty and in dire need of some life - it also had a condom wrapper (not mine) down the side of the bed, which is lovely to see when trying to sleep. Moreover, the bathroom looked like a prisoners bathroom, no windows, no extractor fan, a cheap and dirty floor (leading to my friends and I all buying flip flops), a shower head, a toilet and a sink all next to each other. Additionally, there was pubic hair nicely sitting on the shower drain (none of my friends or mine) meaning either Bas felt like a quick shave before we arrived, or he paid no attention in actually cleaning the bathroom between the last guests and us. The living room, was the best room in the apartment, it was the most spacious, with 2 relatively comfortable sofas, nice big windows to keep circulation and for natural light, as well as a TV. However, there was dust everywhere, the sofas were dirty and we had to take to cleaning that room as well. Surprisingly... Luckily for us, there were roadworks being done on the road outside the apartment, which as unfortunate as it was, was not mentioned by Bas once - which I think was extremely unsatisfactory. Additionally the size of the apartment was barely enough for 3 people, let alone four. Any more people would have made it feel extremely claustrophobic and unpleasant. The room with the double bed was actually quite nice, lacking any character it did its job. On the other hand, the room with 2 single beds (one single bed and a single mattress underneath), was very unpleasant. The sheets smelt and weren't proper duvets; there were..."
-1,"This was an unacceptable apartment and experience. The reason I use AirBnB is because it's convenient and you're able to be in direct contact with the owner/renter should any issues arise. Not in this case, where you're greeting by an uninformed management company acting as a middle man between you and the owner. You have to sign a rental agreement prior to key pickup, then figure your way to the apartment which is almost 2 miles away from key pickup. The apartment didn't have wifi as advertised and the apartment was beyond dirty. There was mold in the shower, water stains that hadn't been cleaned for ages to the point where you couldn't see in the mirror. There were dirty towels on the floor, unclean linens on the bed; dirt, grime, and dust all over the apartment. You're greeted by a strong sulphur/rotten egg smell upon entering. When we reached out to the management company to initially report that the Wifi was down, she said she'd follow up with the owner. When we realized all of the rest of the issues with the listing, we called the management company multiple times, with them ignoring not only us, but AirBnB customer support as well. Thankfully we were able to cancel our reservation and check into a fabulous, clean, properly advertised listing - after 10 hours of back and forth with customer service, on our honeymoon nonetheless, after a 9-hour travel day and a 1.5 mile walk to the listing. We were in Amsterdam on a quick 3-day holiday and essentially lost a day due to this scam of an apartment. I wouldn't recommend this apartment to my worst enemy. Had AirBnB not went into customer service overdrive, this would have been our last time using the service. This listing is very obviously intended to be used as a crash-pad for the young person partying in Amsterdam (hence the unnecessary rental agreement) , NOT for adults looking to experience the more local side to Amsterdam. Truly the most disappointing way to begin a holiday."
1,"Plenty of space and light, well laid out and equipped. A great location to explore the city from, on foot, on bikes or utilising easily accessible public transport links very close. A quiet neighbourhood on the whole yet a two minute walk to De Hallen, brilliant breakfasts and fantastic street market. "
1,"Great apartment, we had everything we needed, good location, there is a supermarkt 100m far away..

Thomas was an excelent host, he recomended us where to go, what to do, he was always avaiable. 

I would really recomend this place to my friends.

The only bad experience I had was that the cat scratch my boots when I left them in the guest door, they were a good ones.

Beside this, everything was good"
0,"The apartment was central closed to a supermarket and some small exotic shops and a nice bar /restaurant. The tram station was 2 minutes away. Perfect without a car :-) 

The room was clean up. The bed a dream. Everything was new.

Only the freezer was dirty and not really cold. Our milk gets to butter. 

The walls are very thin.

We felt fine and Liz and LJarry are very friendly and cooperative :) Thanks!"
0,"Edward was very nice and a very good host.  The location was great with everything we needed close by.  Design was nice, bed was comfortable, everything was clean and worked well.  The neighbors were doing some construction right outside the bedroom and that was a major bummer, Edward tried to help and I appreciated that, the neighbor told him they would wait till 9am to start, but actually most days they started around 7am! It really was very uncomfortable and was a big disappointment.  

If not for the construction it would have been very good.  Assuming there is no construction next door I would recommend this apartment to everyone."
0,The location of the apartment is very good. The host is helpful. But the entrance stairs is awful and dangerous. Also the apartment was not so clean.
0,"This is not a room in a house, is a room in a inn, therefore there is no kitchen and we couldn't find the washing machine, the bathroom is really big and nice, you have to share it with the other guests in the inn, the room is very small and the location is really good, there's a tram stop just a block away, and there are plenty of restaurants, bars and cafes near by.
because it's an inn, you have to give the 100 euro deposit in cash."
1,"Nice, clean place in an area close to the centre (four stops on the Metro - 54, 53) from Amsterdam Centraal in a quiet neighbourhood with a good, friendly, safe family as hosts.  Good value for Amsterdam."
0,"This room is a fine place to stay if you are just looking for a crashpad. 

Cons: 
The room is incredibly sparse – with nothing in the room but a bed and dresser and bare walls, even a cough or sneeze echoed unpleasantly in the room. 
Also, the apartment is at the top of 2 extremely steep and narrow flights of stairs. I have knee problems and didn't feel this was properly communicated in advance, probably wouldn't have booked this apt with that knowledge

Pros: The location is fantastic. Yana was also very flexible about arrival and checkout time. The place was quite clean.

Though no fault of Yana's, her boyfriend got food poisoning that first night and spent an hour retching in the bathroom, which shared a wall with my room. It was awful listening to the echoing sounds of puking late into the night. Not much anyone could have done about it, but it definitely affected my stay."
0,Close to central station and cosy place
1,"All fine! Wonderfull light Apartment! 
Communication with the landlord was very easy and nice. Got every Information and answer fast!
We enjoyed our stay a lot. 
"
1,"Wonderful stay in Amsterdam! Andrea is a lovely host, she is very kind and gave us complete privacy, although we shared the bathroom (and the house of course). She has done a list of the best restaurants, cafè, attractions for her guests. The room is really nice, in a green area, very close to the metro station and far cheaper than the average prices of Amsterdam.  We recommend it!!"
1,"Louise is a great host and we enjoyed the stay at her beautiful flat. The room is nicely furnished, the bed is comfy and the breakfast very tasty. Also, the two cats and the little dog are lovely :) The flat is located in a nice neighbourhood, you can walk to the city center in about half an hour. We would really recommend this place! "
1,"I should say something awful so I can keep this place to myself, but that wouldn't be fair on the host. Beautiful apartment, lovely canal views, lively area and close to some great restaurants and nightlife. I have nothing bad to say about it"
1,"Lockbox entry
Good location
Clean
Other bedroom also rented out to airbnb guests
Lots of stairs so good for young people
Good wifi
Quiet area

Overall would stay again"
1,His apartment is very comfortable & convenient. They has a good coffee machine too. I had a bad experience in Paris's apartment. But his apartment made me happy!!    
-1,DO NOT BOOK IT! IT IS WORSE THAN WHAT IT LOOKS AND AIRBNB WILL NOT EVEN PROVIDE YOU WITH A REFUND. HOSTS LIKE THIS SCAM THE GUESTS INTO BOOKING SOMETHING THAT IS RUNDOWN AND SUBSTANDARD.
1,The apartment was great! The location was great as well and right next to the Albert Cuyp market. My flight arrived well ahead of the check-in time and J let me check-in early! Would highly recommend!
-1,"We have been asked to provide a 150 Euros cash deposit...(surprised) than 100Euros was accepted. We were 4 brothers & for 1 night a friend have joined us at 2 am & we told her to stay at the apartment & not to leave...
5 min later, the host came in the room, had a small nice chat with us... came back 5 min later treating us as cheater because we tried to hide (completely wrong) our friend & told us that we lost our deposit and we he will ""kick us out""
I am an AirBnb host and I will never treat my guest in this way!!
30min negotiation @2am to stay with our friend in the room (no bed, she slept on the ground) and we  lost our deposit!
Very bad experience in general... really disappointed! Never again!"
-1,"Horrible place. 
First of, this is no 'room in appartment' this is straight up an awful hostel. It is not at the location listed on this site - it is close by, but that on itself is worrying.
The hostel is extremely loud. I was woken up at 3am by general noises (probably also the restaurant downstairs). 
Bathroom was mouldy and extremely dirty, as far as I can tell used by a lot of people. 
Room is alright, as listed here.
Wifi very weak, no internet most of the time."
1,"We stayed here as a last minute booking due to be scammed on line.
Thomas and Masha responded very quickly and were very helpful with the booking.
It was a beautiful house and setting for me and a group of friends to celebrate my 50th birthday.
The only thing was that 2 people had to sleep in living room which meant we weren't able to use the terrace as freely as we would have wanted.
The house was very clean and had everything we needed for an enjoyable weekend away.
Cats were no trouble at all and seemed used to visitors.
I would  recommend this to anyone looking for a getaway to Amsterdam..... thank you"
1,"Gina and her husband were extremely welcoming and friendly. I arrived almost 24 hours late because of a delayed flight, and their hospitality definitely made me forget the bad experience I had before arriving. The bed was super comfortable. The place is located in a great location near supermarkets, stores and bus stations, and a walkable distance from the Centraal station."
-1,"DO NOT RECOMMEND!
I was renting the houseboat bout for 8 days during october 2015.
Firstly I never met Mirjam the real house owner all I got was a contact man how came to welcome us but didn't know anything about the boat reaptly saying I don't know how to unlock this or where is what.
The living room has bad air circulation and the first glass is unmoveable. The second glass has two moveable part the one close to the living room is locked with screw! the owner does not want you to have normal circulation of air in the appartment!
that wasn't all!!!!!
the owner took from me at the reservetion Cleaning fee of 37 Dollars and as we arrived to the houseboat the ""host"" (contact man)  took from us aditional 100 euros guarantee for if we break something. at the end of the trip we CLEANED the houseboat leaving for him only to clean the floor (2 min top) and we didnt clean the dishes (8-10 min) and the wet towels, the ""host"" gave us back only 50 EUROS! saying that we did to much mess! (Nothing was broken) 
I Have photos of how we left the houseboat i would give them to how ever want so you can see what is the definition of the ""host"" for additional 50 euros of cleaning after we already paid 37 dollars for that!
you think its all?
No no no we were 3 people living there before i reserved this houseboat i asked her if the apartment is good for 3 she said of course! i will open an extra bed for you we found out that the extra bad wasn't even a real bed it was hard as hell, small (my feet was out of the bad and part of my hands) and if you slept on it you would wake up with alot of pain! one of us had to sleep on the sofa with was awfull but better then the folding bad.
Still it doesn't end! the owner promised 2 bikes as i arrived and asked the ""host"" where the key's and the bike are he didn't know (like anything else) and only after two days at amsterdam he told me he found where they should be and he can give us them now. after we already rent 3 bikes rather than 1.
to sum up: 
Don't take this houseboat search something else.
Don't take this houseboat search something else.
Don't take this houseboat search something else.
Don't take this houseboat search something else.
Don't take this houseboat search something else.
Don't take this houseboat search something else."
1,"The weather was awful during our stay in Amsterdam, so I am very happy we got to stay at Tes' beautiful, tasteful, bright and welcoming gem of a place. We listened to LPs and drank some tea while looking out the window (stunning canal view). When we braved the rain to go to the centre, it was steps away - we did not even buy transportation passes. Tes' boyfriend Auke was there to welcome us, he was very nice and gave us some tips to visit the city.
We would happily return."
1,"Great place. Close to public transportation, clean, very convenient on all levels."
1,"We had great days in Amsterdam.  The apartment was perfect and everything worked out perfectly. Jan was a great host and welcomed us with a welcome prosecco. The location of the apartment is perfect, the metro is just around the corner.    Everything was clean and we had everything we needed.  So I can only recommend it."
-1,"The key has to be picked up and the check-in is 3pm. So i have asked to pick up the key earlier and hence check in earlier. Was confirmed, but not really known when i showed up. 
Once arrived, the apartment wasnt cleaned, the host said it will be clean by 3pm. 
At 2:30 the cleaning guy arrives, if I wouldnt have instructed to get rid of all the spiders in the living room and take of shoes when making a bed, i believe this would have resulted in a very bad experience. 
In between i got insulted of stealing a key from the guest before, which was just rude. 
At 3:30 the apartment was finally clean and we could move in and take a shower. 
The bed room has NO WINDOW, which means you have to leave te door open and get fresh air from the living room. That is very tough, as its groundfloor and you dont leave the window open during night or when left the apartment.
The apartment is not very central and always involves some walking. For what I paid, I would not use this again. Instead i would pay a few euros more and spend more central and nicer. 

Too expensive for what u get!"
0,"Judith is very nice and welcoming .
Negatives of the apartment: 20 minutes by bus from the central station. Low soundproofing the apartment. The ceiling of the shower has undergone significant leaks ( paint to peel ) and the wall above the toilet doors  are damaged.Problème for littering ( he would have needed a card !). One small saucepan and one frying pan (the other two pans are rusty ) !. The plates are chipped . The wings of bed in the corners are damaged and rescotchés . The washing machine has its front panel rusty .
Pros: there is a grocery store next door at the bottom affordable prices. The 33 bus that goes downtown every 7 minutes. On the same line you can get to a mall . There are also night buses (but more expensive) . Otherwise, the ticket is valid for one hour to 2.80 euros. The apartment is warm. The white carpet is nice ( a little stained ) and the small couch is (a little stained ) also . The bed is comfortable. The bedding is clean. Clean towels are provided and toilet paper and cleaning products were providedOverall , it's pretty clean and well lit ."
-1,"Disappointing !
Very Bad experience with the host and the apartment.
 
As agreed with Mr. Sammy  we tried to phone him once  arrived at Amsterdam Central  Station . No answer from him. 
After so many phone attempt  and  messages  we get a text replay  an hour later saying  he will be at the apartment 14:05 . First Disappointment.
 
We managed to reach the apartment at 14:10. He handed over the keys and gave us the WiFi password. He didn't show or explain anything about the apartment . Before leaving he mentioned, we can reach him anytime between 14:00 to 22:00 if anything needed. (but he never picked up or messaged us for the entire stay)

We noticed house was smelling moldy, towels were smelling bad, tiny dust mites on the sofa and bed. I caught allergy with this! there are no kitchen towels and dish-washing gel. 
We left home to have some lunch, and evening we noticed the heaters are not working. we tried calling him many times from evening (Day 1) no response at all. it was a very cold night and floors were damn cold, there are no house slippers provided nor the floor mats. This is the time we regretted booking this apartment and coming all the way from India!
 
Day 2 morning we tried to reach him, yet again no response. I dropped a message to airbnb, saying host is not bothered at all! but still he didn't call us or made some time to come home and show about the alternate heating system,  then we saw a portable small electric heater and one small electric heater behind the TV. If this was the case, he would have mentioned about this at the time of giving the keys! Day 2 night sleep was warm with this. But still not a good experience paying so much money for staying. 

In the description its mentioned king size bed in the bedroom, its actually not. Its two single beds joined together and that's not king size overall! 1.5 toilet in the description was misleading for us, we thought its 1 full bathroom with toilet, and 1 separate toilet. 
Toilet is very very small and the floor is very cold to keep our foot! 

After Day 2 we never tried to reach him nor he did, we never bothered to call him at the checkout, we were very irritated with overall experience. we booked this apartment after reading so many good reviews, it seems we should not relay on reviews. 

After sharing our experience with airbnb, they promised us to refund 30% of the money spent. it was great customer service from airbnb. Sorry to say, this will be my first and last bookings in here! I would book a hotel for all my next travels, tell my family and friends that staying in hotel is more safe and we get 24x7 help in case there is any emergency."
-1,"The flat has nice location. There are shops, cafes, restaurants near the apartments. 
But I would like to say some words about this apartments. Our Triple bed room with own Bathroom was awful! The room was very dirty, the bed linen was not changed and there was a lot of hair on the sheets! Our room had bathrobes and towels everywhere and looks like used. 
What is under your bed? If you only saw socks, candy wrappers, bracelet, worn carpet. This apartment has no heating, very damp and cold. It seems that before our arrival there was no any cleaning . 
And bathroom with toilet - a total disgrace. 
In the shower there was no door and all the water poured on the floor, draining the water does not dry - just an abomination. I have a few photos confirming my words. If you are going to Amsterdam, do not book this apartment!"
1,We had a great stay in Amsterdam in Andreas apartment. It had all we needed and Andrea was very kind and helpful! I would defenetly recommend others to stay at her place! 
-1,"we were very disapointed by the appartement,
everything was dirty we had to clean every thing before settling down.
We never eated at the appartement because the kitchen was awfuly dirty and I won't talk of all the grease that was in the fridge and everywhere.
The cats were cute except that they vomited in our beds and 
they walked all over the furniture in the kitchen and in the living room, it was a little bit annoying when we wanted to eat something.
The photos are not like reality. When we leaved the apprtement we had to wait 4 hours for Lashaa to awnser us on the phone and we had to leave without seeing him.
We dont recommend this flat."
-1,"All in all:
The beds are two cheap, uncomfortable single beds, the pillows and bedding provided are unclean and inadequate (mattress topper being used as a duvet with no cover, sheets which don’t fit the bed, very old cheap pillows). The room is far too warm as the boiler is directly above the bed meaning the windows need to be permanently open, there are drunk people in the street keeping you awake until 5am, there is a serious mosquito problem and we were bitten all over. The hygenine is awful- blood stains and live/ dead insects over the walls, we found used socks in the bed, other people’s hairs around the room. 
A broken window and the terrible hygenine and other problems were photographed and reported to the homeowner on the first night and nothing was done. He said he would send a ‘cleaner’ and no one came at all. The shower facilities are simply a cord running from the bath. The room is cramped and the adjoining apartment opens out right to the door as well as being behind a paper thin wall, leaving little or no privacy. The homeowner was not present but was abrasssive and unhelpful when contracted offering simply to send ‘a cleaner’ who never appreared. 
£120 a night to have no sleep, be covered in insect bites, unclean and uncomfortable with no help from the owner. Shocking. 
"
